"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Begley 2011",2011,"Spontaneous vaginal birth (as defined by trial authors)",1,761,1096,372,549,0,0,0,0,0,0,1.024716,0.955629,1.098798,0,7.959279,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Biro 2000",2000,"Spontaneous vaginal birth (as defined by trial authors)",1,282,488,262,480,0,0,0,0,0,0,1.058691,0.947087,1.183446,0,3.347166,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Fernandez Turienzo 2020",2020,"Spontaneous vaginal birth (as defined by trial authors)",1,97,168,96,163,0,0,0,0,0,0,0.980345,0.81708,1.176232,0,1.28874,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Flint 1989",1989,"Spontaneous vaginal birth (as defined by trial authors)",1,386,488,361,479,0,0,0,0,0,0,1.049532,0.97998,1.124021,0,8.215665,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Gu 2013",2013,"Spontaneous vaginal birth (as defined by trial authors)",1,35,53,23,53,0,0,0,0,0,0,1.521739,1.058434,2.187846,0,0.328796,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Harvey 1996",1996,"Spontaneous vaginal birth (as defined by trial authors)",1,89,105,71,97,0,0,0,0,0,0,1.158015,1.00152,1.338962,0,2.008415,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Homer 2001",2001,"Spontaneous vaginal birth (as defined by trial authors)",1,406,594,380,601,0,0,0,0,0,0,1.081012,0.995979,1.173304,0,5.956076,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kenny 1994",1994,"Spontaneous vaginal birth (as defined by trial authors)",1,158,194,155,211,0,0,0,0,0,0,1.10868,0.997866,1.231799,0,3.725224,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"MacVicar 1993",1993,"Spontaneous vaginal birth (as defined by trial authors)",1,1879,2304,942,1206,0,0,0,0,0,0,1.044097,1.007546,1.081973,0,23.312617,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McLachlan 2012",2012,"Spontaneous vaginal birth (as defined by trial authors)",1,719,1146,637,1149,0,0,0,0,0,0,1.131683,1.056869,1.211794,0,8.252376,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"North Stafford 2000",2000,"Spontaneous vaginal birth (as defined by trial authors)",1,542,770,509,735,0,0,0,0,0,0,1.016432,0.951059,1.086298,0,8.67793,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Rowley 1995",1995,"Spontaneous vaginal birth (as defined by trial authors)",1,307,388,301,397,0,0,0,0,0,0,1.043592,0.967714,1.125419,0,6.914955,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Tracy 2013",2013,"Spontaneous vaginal birth (as defined by trial authors)",1,487,851,454,841,0,0,0,0,0,0,1.060082,0.973455,1.154418,0,5.535308,"1::overall","CD004667_pub6_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
