"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"French 2012",2012,"50% responder",1,9,48,1,12,0,0,0,0,0,0,2.25,0.314797,16.081795,0,15.422127,"1::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"French 2021",2021,"50% responder",1,10,32,6,34,0,0,0,0,0,0,1.770833,0.727506,4.310414,0,56.080463,"1::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Van Rijckevorsel-Harmant 1994",1994,"50% responder",1,19,34,2,12,0,0,0,0,0,0,3.352941,0.913851,12.302017,0,28.497409,"1::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"French 2012",2012,"Treatment withdrawal",2,1,48,0,12,0,0,0,0,0,0,0.795918,0.034393,18.419251,0,17.845959,"2::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"French 2021",2021,"Treatment withdrawal",2,2,32,3,34,0,0,0,0,0,0,0.708333,0.126479,3.966967,0,65.68902,"2::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Van Rijckevorsel-Harmant 1994",1994,"Treatment withdrawal",2,3,34,0,12,0,0,0,0,0,0,2.6,0.143922,46.970017,0,16.465021,"2::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"French 2021",2021,"Any adverse effects",3,24,32,22,34,0,0,0,0,0,0,1.159091,0.842671,1.594326,0,100,"3::overall","CD009945_pub3_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
