"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Attarha 2009",2009,"4th degree tears",3,0,85,0,85,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Geranmayeh 2012",2012,"4th degree tears",3,0,42,0,42,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Stamp 2001",2001,"4th degree tears",3,0,708,1,632,0,0,0,0,0,0,0.297602,0.012145,7.292274,0,31.85297,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stamp 2001",2001,"Pain",4,0,0,0,0,0,0,0,0,-0.030459,0.039325,0.97,0.898045,1.04772,0,100,"4::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Goh 2021",2021,"2nd degree tears",1,33,79,51,77,0,0,0,0,0,0,0.630678,0.464742,0.85586,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Goh 2021",2021,"3rd degree tears",2,1,79,0,77,0,0,0,0,0,0,2.925,0.120986,70.715927,0,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Goh 2021",2021,"Maternal satisfaction (continuous)",3,0,63,0,56,8.3,1.2,7.9,1.1,0,0,0.4,-0.013289,0.813289,0,100,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Goh 2021",2021,"PPH ?  500mL",4,4,79,9,77,0,0,0,0,0,0,0.433193,0.13921,1.348007,0,100,"4::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hong 2022",2022,"2nd degree tears",1,115,140,118,137,0,0,0,0,0,0,0.953692,0.860893,1.056496,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Hong 2022",2022,"3rd or 4th degree tears",2,1,140,1,137,0,0,0,0,0,0,0.978571,0.061825,15.488849,0,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
