"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Aravind 2022","2022","Independence in ADL scales",1,0,7,0,13,90,22.964,92.667,14.119,0,0.469508549330022,-0.145385,-1.065605,0.774835,0.220438277893981,1.628564,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bai 2013","2013","Independence in ADL scales",1,0,40,0,39,57.42,21.66,57.96,22.67,0,0.225044224135367,-0.024126,-0.465204,0.416953,0.0506449028166891,2.000389,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Bek 2016","2016","Independence in ADL scales",1,0,30,0,32,16.9,3,14.8,5,0,0.258317552297474,0.499033,-0.00726,1.005326,0.0667279578249583,1.958043,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chang 2015","2015","Independence in ADL scales",1,0,25,0,25,88.26,13.02,61.75,19.82,0,0.342253599710506,1.556126,0.917146,2.195106,0.117137526514799,1.861139,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Chen J 2014","2014","Independence in ADL scales",1,0,40,0,40,81.9,3.8,61.2,2.4,0,0.568801787230293,6.450598,5.335767,7.565429,0.323535473156375,1.4634,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chen S 2021","2021","Independence in ADL scales",1,0,59,0,62,85.38,14.53,71.43,10.61,0,0.195418836868889,1.093815,0.710802,1.476829,0.0381885218031893,2.034465,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Chu 2003","2003","Independence in ADL scales",1,0,30,0,28,49,11.12,30.18,10.22,0,0.311318754815731,1.735942,1.125768,2.346115,0.0969193671000169,1.883209,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dai 2015","2015","Independence in ADL scales",1,0,31,0,31,75.82,6.94,68.74,7.52,0,0.269360967805442,0.966184,0.438247,1.494122,0.0725553309770842,1.943139,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fang 2003","2003","Independence in ADL scales",1,0,50,0,78,47.67,28.75,47.16,28.73,0,0.181167787003322,0.017641,-0.337442,0.372723,0.032821767047681,2.049507,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fang YN 2004","2004","Independence in ADL scales",1,0,21,0,23,50.71,28.78,49.57,27.38,0,0.301856228622435,0.039904,-0.551723,0.631531,0.0911171827581599,1.897143,"1::overall","CD001920_pub4_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
