"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"NASP 2004",2004,"SAEs",1,174,631,86,308,0,0,0,0,0,0,0.98758,0.792938,1.229999,0,100,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"BRAVO 2014",2014,"SAEs",1,34,442,54,449,0,0,0,0,0,0,0.639601,0.425107,0.962322,0,33.618223,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"CHAMPS 2000",2000,"SAEs",1,12,193,19,190,0,0,0,0,0,0,0.621762,0.310494,1.245073,0,21.8722,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kappos 2011",2011,"SAEs",1,2,54,2,54,0,0,0,0,0,0,1,0.14612,6.843682,0,4.791492,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"MSCRG 1996",1996,"SAEs",1,25,158,14,143,0,0,0,0,0,0,1.616184,0.874738,2.986097,0,24.761773,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Pakdaman 2007",2007,"SAEs",1,9,104,7,98,0,0,0,0,0,0,1.211538,0.469299,3.127696,0,14.956312,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Andersen 2004",2004,"SAEs",1,51,186,49,178,0,0,0,0,0,0,0.99605,0.713301,1.39088,0,37.552751,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Boyko 2017",2017,"SAEs",1,0,109,3,54,0,0,0,0,0,0,0.071429,0.003756,1.358524,0,1.24743,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"ETOMS 2001",2001,"SAEs",1,6,154,5,155,0,0,0,0,0,0,1.207792,0.376482,3.874717,0,7.168178,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"IMPROVE 2010",2010,"SAEs",1,4,60,3,120,0,0,0,0,0,0,2.666667,0.616505,11.53456,0,4.747545,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"OWIMS 1999",1999,"SAEs",1,11,193,3,100,0,0,0,0,0,0,1.899827,0.54238,6.654641,0,6.299479,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"PRISMS 1998",1998,"SAEs",1,44,373,25,187,0,0,0,0,0,0,0.882359,0.557916,1.395476,0,28.125139,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"REFLEX 2012",2012,"SAEs",1,14,344,12,171,0,0,0,0,0,0,0.579942,0.274241,1.226411,0,14.859479,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Boyko 2016",2016,"SAEs",1,8,126,1,32,0,0,0,0,0,0,2.031746,0.263571,15.661799,0,1.15154,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"CONFIRM 2012",2012,"SAEs",1,60,351,79,363,0,0,0,0,0,0,0.785459,0.580797,1.06224,0,52.710843,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Comi 2001",2001,"SAEs",1,10,119,6,120,0,0,0,0,0,0,1.680672,0.630873,4.477382,0,5.002832,"1::overall","CD012186_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
