"dataset_name","paired_analyses","mismatch_rate","issue1","issue1_count","issue1_rate","issue2","issue2_count","issue2_rate","issue3","issue3_count","issue3_rate","issue4","issue4_count","issue4_rate","issue5","issue5_count","issue5_rate"
"CD010189_pub3_data",NA,NA,"double_zero",44,1,"sparse_events",44,1,"exp_sd_le0",44,1,"ctrl_sd_le0",44,1,"ci_mismatch",44,1
"CD010333_pub4_data",NA,NA,"ci_mismatch",8,1,"sparse_events",6,0.75,"double_zero",5,0.625,"exp_sd_le0",3,0.375,"ctrl_sd_le0",3,0.375
"CD010779_pub2_data",NA,NA,"double_zero",20,1,"sparse_events",20,1,"ci_mismatch",14,0.7,"duplicate_study",7,0.35,"ctrl_sd_le0",1,0.05
"CD010856_pub3_data",NA,NA,"double_zero",81,1,"sparse_events",81,1,"ci_mismatch",77,0.951,"",0,NA,"",0,NA
"CD011039_pub2_data",NA,NA,"ci_mismatch",28,1,"exp_sd_le0",19,0.679,"ctrl_sd_le0",19,0.679,"duplicate_study",11,0.393,"sparse_events",11,0.393
"CD011044_pub3_data",NA,NA,"exp_sd_le0",341,1,"ctrl_sd_le0",341,1,"ci_mismatch",336,0.985,"sparse_events",141,0.413,"double_zero",94,0.276
"CD011060_pub2_data",NA,NA,"exp_sd_le0",4,1,"ctrl_sd_le0",4,1,"ci_mismatch",4,1,"sparse_events",2,0.5,"",0,NA
"CD011120_pub3_data",NA,NA,"exp_sd_le0",27,1,"ctrl_sd_le0",27,1,"ci_mismatch",27,1,"duplicate_study",3,0.111,"sparse_events",3,0.111
"CD011192_pub4_data",NA,NA,"exp_sd_le0",22,1,"ctrl_sd_le0",22,1,"ci_mismatch",21,0.955,"sparse_events",3,0.136,"double_zero",1,0.045
"CD011218_pub2_data",NA,NA,"ci_mismatch",12,0.75,"double_zero",10,0.625,"sparse_events",10,0.625,"exp_sd_le0",9,0.562,"ctrl_sd_le0",9,0.562
"CD011330_pub2_data",NA,NA,"sparse_events",48,0.98,"ci_mismatch",46,0.939,"double_zero",41,0.837,"exp_sd_le0",11,0.224,"ctrl_sd_le0",11,0.224
"CD011624_pub3_data",NA,NA,"sparse_events",71,0.986,"double_zero",70,0.972,"exp_sd_le0",57,0.792,"ctrl_sd_le0",57,0.792,"ci_mismatch",50,0.694
"CD011671_pub3_data",NA,NA,"exp_sd_le0",97,0.96,"ctrl_sd_le0",97,0.96,"ci_mismatch",94,0.931,"sparse_events",23,0.228,"double_zero",20,0.198
"CD011778_pub2_data",NA,NA,"double_zero",205,1,"sparse_events",205,1,"exp_sd_le0",194,0.946,"ctrl_sd_le0",194,0.946,"variance_se_mismatch",30,0.146
"CD011800_pub2_data",NA,NA,"sparse_events",12,1,"ci_mismatch",11,0.917,"double_zero",10,0.833,"exp_sd_le0",3,0.25,"ctrl_sd_le0",3,0.25
"CD011851_pub3_data",NA,NA,"ci_mismatch",74,1,"sparse_events",70,0.946,"double_zero",66,0.892,"exp_sd_le0",8,0.108,"ctrl_sd_le0",8,0.108
"CD012170_pub2_data",NA,NA,"double_zero",59,1,"sparse_events",59,1,"exp_sd_le0",59,1,"ctrl_sd_le0",59,1,"duplicate_study",36,0.61
"CD012178_pub2_data",NA,NA,"exp_sd_le0",24,1,"ctrl_sd_le0",24,1,"ci_mismatch",21,0.875,"sparse_events",9,0.375,"double_zero",3,0.125
"CD012265_pub2_data",NA,NA,"ci_mismatch",4,1,"double_zero",3,0.75,"sparse_events",3,0.75,"exp_sd_le0",1,0.25,"ctrl_sd_le0",1,0.25
"CD012268_pub2_data",NA,NA,"double_zero",207,1,"sparse_events",207,1,"ci_mismatch",207,1,"duplicate_study",37,0.179,"",0,NA
"CD012335_pub2_data",NA,NA,"sparse_events",6,0.146,"ci_mismatch",4,0.098,"double_zero",1,0.024,"",0,NA,"",0,NA
"CD012426_pub2_data",NA,NA,"duplicate_study",9,0.333,"ci_mismatch",5,0.185,"exp_n_le0",4,0.148,"ctrl_n_le0",4,0.148,"sparse_events",1,0.037
"CD012445_pub2_data",NA,NA,"double_zero",46,1,"sparse_events",46,1,"ci_mismatch",44,0.957,"duplicate_study",11,0.239,"",0,NA
"CD012532_pub2_data",NA,NA,"double_zero",14,1,"sparse_events",14,1,"exp_sd_le0",14,1,"ctrl_sd_le0",14,1,"ci_mismatch",14,1
"CD012570_pub2_data",NA,NA,"ci_mismatch",49,1,"exp_sd_le0",28,0.571,"ctrl_sd_le0",28,0.571,"sparse_events",26,0.531,"double_zero",21,0.429
"CD012572_pub3_data",NA,NA,"ci_mismatch",45,1,"sparse_events",40,0.889,"double_zero",31,0.689,"exp_sd_le0",14,0.311,"ctrl_sd_le0",14,0.311
"CD012594_pub2_data",NA,NA,"exp_sd_le0",2,1,"ctrl_sd_le0",2,1,"ci_mismatch",2,1,"",0,NA,"",0,NA
