dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,log_k,abs_estimate,z_score,precision,near_null,borderline_sig,fragility_risk_score,risk_category,relative_position,effect_quartile,pub_version
CD000028_pub4_data,1,OR,36,-0.124755687489753,0.0334285745350271,0.000189959920828973,-0.190274489632919,-0.0592368853465866,0.00577622038761437,16.1423614268811,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0107555888723893,0.00393007049084637,33,0.131037604286332,0.0071612234918093,0,0,Robust,3.58351893845611,0.124755687489753,3.73200739861138,894.87893368839,FALSE,FALSE,0.0795277102027701,Low Risk,0.916666666666667,Q2,4
CD000028_pub4_data,2,OR,42,-0.37770419096943,0.0366566634574288,6.77074473548919e-25,-0.449549931139396,-0.305858450799464,0.00663313291199628,13.3885776639842,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.029626503950903,0.00419793078462878,24,0.143691480339932,0.00218108698302794,0,0,Robust,3.73766961828337,0.37770419096943,10.3038344285774,744.207659226284,FALSE,FALSE,0.0670383046266158,Low Risk,0.571428571428571,Q3,4
CD000028_pub4_data,3,OR,36,-0.41452975021648,0.0373119565687293,1.12364616031076e-28,-0.487659841283912,-0.341399659149048,0.00556463286966118,12.3158400883381,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0251060680054213,0.00484075642393492,8,0.146260182134864,0.00299618913168506,0,0,Robust,3.58351893845611,0.41452975021648,11.109836854921,718.296836207442,FALSE,FALSE,0.0707920216362967,Low Risk,0.222222222222222,Q3,4
CD000028_pub4_data,4,OR,32,-0.339612148926549,0.0422306111735298,8.84937415465738e-16,-0.422382625871783,-0.256841671981316,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0164029964810256,0.00392567542987277,15,0.165540953890466,0.00272185416057255,0,0,Robust,3.46573590279973,0.339612148926549,8.04184783239458,560.718992441359,FALSE,FALSE,0.0612280098872674,Low Risk,0.46875,Q3,4
CD000028_pub4_data,5,OR,13,-0.140192643710262,0.124944803026193,0.26184687258536,-0.385079957697052,0.104694670276528,0.111371603283192,72.1448911694065,FALSE,FALSE,0,TRUE,1,gain,TRUE,1,0.120800509265306,0.0214152015585344,12,0.48977462797358,0.046002681192198,2,0.0769230769230769,Moderate Fragility,2.56494935746154,0.140192643710262,1.12203661388679,64.0565591611551,FALSE,FALSE,0.404293500265225,High Risk,0.923076923076923,Q2,4
CD000028_pub4_data,6,OR,4,0.805260630807161,0.478051366091096,0.092091904138427,-0.131702829491559,1.74222409110588,0.792215639702224,96.7491477942095,FALSE,FALSE,0,TRUE,1,gain,FALSE,0,0.355168444769622,0.184570533786809,1,1.87392692059744,0.658382065487458,1,0.25,Low Fragility,1.38629436111989,0.805260630807161,1.68446465782866,4.37573359077673,FALSE,TRUE,0.279604070630732,Moderate Risk,0.25,Q4 (largest),4
CD000143_pub2_data,1,OR,47,-0.777236490680725,0.14670208545183,1.17039337176985e-07,-1.06476729462323,-0.48970568673822,0.58753645542427,66.4387707070126,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0402503495527073,0.0179503138192049,6,0.575061607885009,0.0142226115051396,0,0,Robust,3.85014760171006,0.777236490680725,5.2980602715149,46.4651586941089,FALSE,FALSE,0.143557819950474,Low Risk,0.127659574468085,Q4 (largest),2
CD000143_pub2_data,2,OR,23,-0.240630952618133,0.159922612006681,0.13240862437865,-0.554073512464801,0.0728116072285356,0.274816292500686,50.6496407558818,FALSE,FALSE,0,FALSE,0,gain,TRUE,6,0.118789711108259,0.0307581969163228,6,0.626885119693337,0.0301523252760867,1,0,Low Fragility,3.13549421592915,0.240630952618133,1.50467122565557,39.1003145388189,FALSE,FALSE,0.200560667398058,Moderate Risk,0.260869565217391,Q3,2
CD000143_pub2_data,4,OR,5,-0.17791741421883,0.407152582918647,0.662126068921497,-0.975921812951837,0.620086984514177,0.57040155684473,71.6441313861111,FALSE,TRUE,1,FALSE,0,gain,TRUE,2,0.368889418287915,0.186705968111432,4,1.59600879746601,0.326719540871705,2,0.2,Moderate Fragility,1.6094379124341,0.17791741421883,0.436979701672136,6.03233722038592,FALSE,FALSE,0.504586874766813,High Risk,0.8,Q2,2
CD000219_pub5_data,1,OR,27,-0.391475083466115,0.0750557476607824,1.83034589558281e-07,-0.538581645713975,-0.244368521218255,0.0319299507537542,22.5786962850007,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0303523970925642,0.0121406574572989,27,0.29421312449572,0.0085466366443599,0,0,Robust,3.29583686600433,0.391475083466115,5.21579087101235,177.513786944984,FALSE,FALSE,0.096087002419353,Low Risk,1,Q3,5
CD000219_pub5_data,2,OR,11,0.61468961745144,0.132047053570321,3.2385470620463e-06,0.355882148188981,0.8734970867139,0.0615645008991261,35.4970525897517,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.105322247334422,0.026770768858076,4,0.517614938524919,0.044333597633173,0,0,Robust,2.39789527279837,0.61468961745144,4.65508014629111,57.3512079970282,FALSE,FALSE,0.167219221319299,Low Risk,0.363636363636364,Q4 (largest),5
