"rob_type","min_k_post","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sig_loss","prop_sig_gain","prop_sign_flip"
"low_only",2,464,0.275862068965517,0.732758620689655,0.823275862068966,0,-0.024215848670218,0.0603448275862069,0.021551724137931,0.0387931034482759,0.0948275862068965
"low_only_with_support",2,232,0.275862068965517,0.732758620689655,0.823275862068966,0,-0.024215848670218,0.0603448275862069,0.021551724137931,0.0387931034482759,0.0948275862068965
"non_high",2,856,0.235981308411215,0.731308411214953,0.817757009345794,0,-1.90142751279244,0.0724299065420561,0.0420560747663551,0.0303738317757009,0.0677570093457944
"low_only",5,240,0.333333333333333,0.758333333333333,0.883333333333333,0,0.409651855017245,0.0416666666666667,0.0166666666666667,0.025,0.0333333333333333
"low_only_with_support",5,120,0.333333333333333,0.758333333333333,0.883333333333333,0,0.409651855017245,0.0416666666666667,0.0166666666666667,0.025,0.0333333333333333
"non_high",5,512,0.2265625,0.82421875,0.9140625,0,-0.420365359112606,0.03125,0.02734375,0.00390625,0.03515625
"low_only",10,120,0.25,0.833333333333333,0.95,0,0.136176283791311,0.0666666666666667,0.0166666666666667,0.05,0
"low_only_with_support",10,60,0.25,0.833333333333333,0.95,0,0.136176283791311,0.0666666666666667,0.0166666666666667,0.05,0
"non_high",10,332,0.234939759036145,0.897590361445783,0.969879518072289,0,-0.0317990182220467,0.0421686746987952,0.036144578313253,0.00602409638554217,0.00602409638554217
