Fold,Logistic_AUC,LASSO_AUC,RF_AUC
1,0.654180752760875,0,0
2,0.729150645133726,0,0
3,0.69884593837535,0,0
4,0.651466368793394,0,0
5,0.685155555555556,0,0
6,0.688110902255639,0,0
7,0.706488888888889,0,0
8,0.684062437194346,0,0
9,0.699779992816092,0,0
10,0.685861382711777,0,0
