"min_k_post","n_analyses","n_with_influential","prop_delta_i2_gt0","median_delta_i2","mean_delta_i2","prop_delta_tau2_gt0","median_delta_tau2","mean_delta_tau2","median_delta_effect_re","median_delta_effect_fe","median_max_abs_delta_effect_loo_all","median_max_abs_delta_effect_loo_post","median_max_abs_delta_i2_loo_all","median_max_abs_delta_i2_loo_post","mean_mean_cook_pre","mean_mean_cook_post","mean_mean_cook_delta","mean_prop_influ_pre","mean_prop_pre_overall","mean_prop_influ_minus_overall","prop_influ_pre_gt_overall"
2,2957,1045,0.228610077781535,0,-1.12932230725687,0.234359147784917,0,0.85117684268381,-0.00174382050793775,-0.00151546036192063,0.0700491732022648,0.0720429101012112,0,0,0.20029904075846,0.332750792976456,-0.132451752217996,0.349958608642819,0.353646414071076,-0.00368780542825678,0.385645933014354
5,1601,634,0.247970018738289,0,-0.179124165668112,0.251717676452217,0,0.55823523085759,-0.00255724440711658,-0.00222775623863702,0.049435190147297,0.0600144652891675,0,0,0.0756127315554167,0.0619741913736329,0.0136385401817838,0.228131415552551,0.257794668974037,-0.0296632534214854,0.291798107255521
10,837,356,0.247311827956989,0,-0.189952044830343,0.261648745519713,0,0.0407005637577317,-0.0030554886696037,-0.00277163695460891,0.0379474673632988,0.0463156673341154,0,0,0.023832669540677,0.0298273191108551,-0.00599464957017811,0.177674112716248,0.216921925158125,-0.0392478124418778,0.275280898876405
