"dataset_name","n_rows","issue_rows","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"CD011468_pub2_data",10,10,0,0,0,0,0,0,0,0,0,0,4,0,6,6,6,0,0,0,10
"CD011600_pub3_data",169,169,0,0,0,0,18,18,0,0,0,0,105,18,107,134,134,0,0,0,169
"CD011626_pub3_data",65,65,0,0,0,0,0,0,0,0,0,0,54,0,62,11,11,0,0,0,64
"CD011627_pub3_data",24,24,0,0,0,0,0,0,0,0,0,0,2,0,3,24,24,0,0,0,22
"CD011793_pub3_data",115,115,0,0,0,0,0,0,0,0,0,0,75,0,99,40,40,0,0,0,115
"CD011806_pub2_data",104,104,0,0,0,0,0,0,0,0,0,0,85,0,94,72,72,0,0,0,51
"CD011841_pub3_data",113,113,0,0,0,0,0,0,0,0,0,0,67,0,73,46,46,0,0,0,105
"CD011866_pub3_data",157,157,0,0,0,0,0,0,0,0,0,0,56,0,58,103,103,0,0,0,155
"CD011885_pub2_data",173,173,0,0,0,0,0,0,0,0,0,0,58,0,96,124,124,0,0,0,164
"CD012186_pub2_data",202,202,0,0,0,0,0,0,0,0,0,0,8,0,37,202,202,0,0,0,194
"CD012214_pub3_data",25,25,0,0,0,0,0,0,0,0,0,0,8,0,13,25,25,0,0,0,17
"CD012397_pub2_data",25,25,0,0,0,0,2,2,0,0,0,0,8,2,13,23,23,0,0,0,22
"CD012609_pub2_data",28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,28,28,0,0,0,28
"CD012757_pub2_data",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,24
"CD012891_pub2_data",58,58,0,0,0,0,10,10,0,0,0,0,15,10,30,54,54,0,0,0,53
"CD012925_pub2_data",99,99,0,0,0,0,0,0,0,0,0,0,78,0,79,97,97,0,0,0,53
"CD012942_pub2_data",825,825,0,0,0,0,0,0,0,0,0,0,126,0,152,699,699,0,0,0,760
"CD013042_pub2_data",312,312,0,0,0,0,0,0,0,0,0,0,231,0,241,89,89,0,0,0,298
"CD013051_pub3_data",19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,19
"CD013052_pub3_data",44,44,0,0,0,0,0,0,0,0,0,0,2,1,5,44,44,0,0,0,42
"CD013055_pub3_data",11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,0,0,0,11
"CD013059_pub2_data",363,363,0,0,0,0,0,0,0,0,0,0,358,0,361,12,12,0,0,0,356
"CD013105_pub2_data",86,86,0,0,0,0,0,0,0,0,0,0,53,0,60,39,39,0,0,0,77
"CD013111_pub2_data",21,21,0,0,0,0,0,0,0,0,0,0,0,0,6,21,21,0,0,0,21
"CD013197_pub2_data",375,172,0,0,0,0,0,0,0,0,0,0,39,0,109,116,116,0,0,0,102
"CD013303_pub2_data",132,132,0,0,0,0,0,0,0,0,0,0,116,0,116,16,16,0,0,0,132
"CD013332_pub2_data",67,67,0,0,0,0,0,0,0,0,0,0,6,0,22,61,61,0,0,0,67
"CD013342_pub2_data",224,224,0,0,0,0,0,0,0,0,0,0,173,1,196,70,70,0,0,0,143
