"min_k_post","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","prop_delta_tau2_gt0","median_delta_i2","mean_delta_i2","median_delta_tau2","mean_delta_tau2","median_delta_effect_re","median_delta_effect_fe","prop_sig_change_all_post","prop_sig_loss_all_post","prop_sig_gain_all_post","prop_sign_flip_all_post","n_pre_ok","median_delta_i2_post_pre","mean_delta_i2_post_pre","median_delta_tau2_post_pre","mean_delta_tau2_post_pre","median_delta_effect_post_pre"
2,2957,0.228610077781535,0.731484612783226,0.80385525870815,0.234359147784917,0,-1.12932230725687,0,0.85117684268381,-0.00174382050793775,-0.00151546036192063,0.090632397700372,0.0696652012174501,0.0209671964829219,0.105174163003044,1943,0,1.45446278209703,0,-4.8087332781516,-0.0154309706595801
5,1601,0.247970018738289,0.790755777638976,0.871330418488445,0.251717676452217,0,-0.179124165668112,0,0.55823523085759,-0.00255724440711658,-0.00222775623863702,0.0493441599000625,0.0393504059962523,0.00999375390381012,0.0730793254216115,1167,0,3.64798303184714,0,-10.3745231379088,-0.0221104743642803
10,837,0.247311827956989,0.845878136200717,0.919952210274791,0.261648745519713,0,-0.189952044830343,0,0.0407005637577317,-0.0030554886696037,-0.00277163695460891,0.040621266427718,0.034647550776583,0.00597371565113501,0.0489844683393071,655,0,3.7987015721284,0,0.146839370347387,-0.0340903585393585
