"dataset_name","missing_study","duplicate_study","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch","variance_se_mismatch","weight_negative"
"CD014666_pub2_data",0,75,0,0,0,0,0,0,0,0,0,0,124,0,124,6,6,0,0,0,126,0,0
"CD014678_pub2_data",0,182,0,0,0,0,0,0,0,0,0,0,3,0,34,223,223,0,0,0,220,0,0
"CD014687_pub2_data",0,23,0,0,0,0,0,0,0,0,0,0,26,0,28,13,13,0,0,0,37,0,0
"CD014688_pub2_data",0,5,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,8,0,0
"CD014713_pub2_data",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0
"CD014722_pub2_data",0,64,0,0,0,0,0,0,0,0,0,0,337,0,339,23,23,0,0,0,350,0,0
"CD014736_pub2_data",0,8,0,0,0,0,0,0,0,0,0,0,20,0,24,11,11,0,0,0,25,0,0
"CD014741_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,106,1,163,211,211,0,0,0,210,103,0
"CD014755_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,8,8,0,0,0,7,0,0
"CD014758_pub3_data",0,107,0,0,0,0,0,0,0,0,0,0,274,0,274,205,205,0,0,0,46,182,0
"CD014762_pub2_data",0,7,0,0,0,0,0,0,0,0,0,0,4,0,7,26,26,0,0,0,30,0,0
"CD014763_pub2_data",0,34,0,0,0,0,0,0,0,0,0,0,30,2,37,46,46,0,0,0,58,0,0
"CD014769_pub2_data",0,2,0,0,0,0,0,0,0,0,0,0,0,0,66,345,345,0,0,0,345,0,0
"CD014785_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,3,0,0,0,8,0,0
