"rob_type","measure","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
"low_only","GEN",4,0.5,0.5,1,3.01443943448808,3.01443943448808,0.5,0
"low_only","MD",16,0.375,0.75,0.75,0,-1.83926151798045,0.125,0
"low_only","RR",444,0.27027027027027,0.734234234234234,0.824324324324324,0,0.0138159296548506,0.0540540540540541,0.0990990990990991
"low_only_with_support","GEN",2,0.5,0.5,1,3.01443943448808,3.01443943448808,0.5,0
"low_only_with_support","MD",8,0.375,0.75,0.75,0,-1.83926151798045,0.125,0
"low_only_with_support","RR",222,0.27027027027027,0.734234234234234,0.824324324324324,0,0.0138159296548506,0.0540540540540541,0.0990990990990991
"non_high","GEN",18,0.666666666666667,0.888888888888889,1,1.47848770606002,1.86945203749752,0,0.111111111111111
"non_high","MD",40,0.4,0.5,0.65,-0.000411525425697811,-8.26533368945152,0.35,0
"non_high","RR",798,0.218045112781955,0.739348370927318,0.822055137844611,0,-1.66749215544765,0.0601503759398496,0.0701754385964912
