method,Mean_Bias,Mean_Abs_Bias,Mean_RMSE,Mean_Coverage,Mean_SE
EMA,0.0434572375,0.0978022875,0.138710941885455,86.4,0.09846275
REML,0.0436724065163439,0.0980648224827495,0.138786520914451,84.9875,0.0951964379348061
HKSJ,0.0436724065163439,0.0980648224827495,0.138786520914451,89.0125,0.0942099014224998
ARP,0.0436807125,0.0980693875,0.138789014798542,84.925,0.0950443
UBSF,0.0430612720301029,0.0991101720301029,0.139982039683703,85.6910569105691,0.0987161928968087
MWM,0.04249445,0.100602475,0.141112598817398,85.1625,0.096831
SIT,0.044756015250531,0.101507715250531,0.141894325901083,85.3981747718465,0.0979000599251793
