RRR,n_valid,median_OIS,median_IF,pct_adequate,pct_marginal,pct_inadequate,pct_critical
10%,422,34590.7704026513,0.357447700711866,25.3554502369668,14.218009478673,16.824644549763,43.6018957345972
15%,422,15036.2464864533,0.817167279833126,43.6018957345972,14.9289099526066,14.4549763033175,27.0142180094787
20%,422,8290.69110449119,1.47873424336218,57.1090047393365,13.7440758293839,11.1374407582938,18.0094786729858
25%,422,5199.79310303357,2.35696206714178,67.2985781990521,10.9004739336493,8.29383886255924,13.5071090047393
30%,422,3530.21975707603,3.43386431556896,74.1706161137441,9.95260663507109,5.68720379146919,10.1895734597156
