dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD011627_pub3_data,binary,24,1759,73.2,0.277,0.438,0.38064,continue,FALSE,0.323015586673771,Inadequate
CD011670_pub3_data,binary,31,2940,20.9,0.212,0.313,0.57368,continue,FALSE,0.358326545152847,Inadequate
CD011671_pub3_data,binary,85,16231,0,15.154,1,1,conclusive_harm,TRUE,0.999999999999898,Adequate
CD011689_pub4_data,binary,3665,3754141,88,41.124,1,0.736,conclusive_benefit,TRUE,0.9208,Adequate
CD011762_pub2_data,binary,2017,2475829,33.3,48.843,1,0.9001,conclusive_harm,TRUE,0.97003,Adequate
CD011778_pub2_data,binary,205,8142,0,,0.025,0.70042,unknown,FALSE,0.488876,Inadequate
CD011793_pub3_data,binary,115,12480,0,0.551,0.094,0.73858,futile,FALSE,0.538566334265301,Marginal
CD011800_pub2_data,binary,12,544,0,,0.16,0.45396,unknown,FALSE,0.435188,Inadequate
CD011806_pub2_data,continuous,32,2341,99.1,0.067,0.378,0.35764,continue,FALSE,0.295793046934028,Inadequate
CD011841_pub3_data,binary,113,7268,48.9,0.669,0.123,0.60142,futile,FALSE,0.511934096499584,Marginal
CD011851_pub3_data,binary,74,46677,0,0.17,0.114,0.74518,continue,FALSE,0.377606399388734,Inadequate
CD011858_pub2_data,binary,74,6083,22.3,0.435,0.11,0.6772,continue,FALSE,0.373492220181041,Inadequate
CD011866_pub3_data,binary,157,17932,47.6,4.168,0.267,0.63742,continue,FALSE,0.535922351727399,Marginal
CD011885_pub2_data,binary,173,25835,23.6,2.676,0.576,0.75832,conclusive_benefit,TRUE,0.85713005347742,Adequate
CD012067_pub3_data,binary,416,95413,72.5,2.753,0.995,0.75358,conclusive_benefit,TRUE,0.919495601222152,Adequate
CD012079_pub2_data,binary,567,79149,59.8,5.491,0.098,0.56068,futile,FALSE,0.627878872898564,Marginal
CD012152_pub4_data,binary,63,46833,33.1,7.891,0.788,0.7663,conclusive_harm,TRUE,0.898089793184542,Adequate
CD012170_pub2_data,binary,59,17475,0,,0.03,0.70504,unknown,FALSE,0.491012,Inadequate
CD012178_pub2_data,binary,24,3172,0,0.44,0.502,0.60996,continue,TRUE,0.41249025671021,Inadequate
CD012186_pub2_data,binary,202,113209,50.3,6.949,0.969,0.77842,conclusive_benefit,TRUE,0.928874639209417,Adequate
CD012214_pub3_data,binary,25,1180,4.7,0.527,0.957,0.70628,conclusive_benefit,TRUE,0.761371993066694,Adequate
CD012265_pub2_data,binary,4,222,0,0.017,0.076,0.36344,continue,FALSE,0.249995835113079,Critical
CD012268_pub2_data,binary,207,12656,0,,0.04,0.7126,unknown,FALSE,0.49478,Inadequate
CD012335_pub2_data,binary,17,7208,65.5,0.365,0.039,0.25162,continue,FALSE,0.230187450417574,Critical
CD012397_pub2_data,binary,23,44680,75.3,0.351,0.091,0.29578,continue,FALSE,0.250284361220471,Inadequate
CD012426_pub2_data,binary,23,9046,0,10.57,0.896,0.6772,conclusive_harm,TRUE,0.887559999025832,Adequate
CD012429_pub2_data,binary,105,9186,0,1.584,0.82,0.8725,conclusive_harm,TRUE,0.887306663217422,Adequate
CD012445_pub2_data,binary,46,4804,0,,0.053,0.68864,unknown,FALSE,0.489542,Inadequate
CD012503_pub3_data,binary,316,114303,41.9,29.349,0.539,0.69778,conclusive_benefit,TRUE,0.840184,Adequate
CD012532_pub2_data,binary,14,4438,0,,0.031,0.41722,unknown,FALSE,0.404816,Inadequate
CD012570_pub2_data,binary,49,23212,0,2.67,0.298,0.77786,continue,FALSE,0.576213168461521,Marginal
CD012572_pub3_data,continuous,31,4961,68.2,4.523,1,0.6434,conclusive_benefit,TRUE,0.892845974448003,Adequate
CD012586_pub2_data,binary,582,153807,27.5,24.049,0.743,0.77416,conclusive_harm,TRUE,0.893698,Adequate
CD012594_pub2_data,binary,2,268,0,0.082,0.367,0.41326,continue,FALSE,0.311533010537876,Inadequate
CD012609_pub2_data,binary,28,3689,69.9,1.065,0.756,0.47348,conclusive_harm,TRUE,0.711934861277464,Marginal
CD012623_pub2_data,binary,31,2241,0,5.844,0.999,0.848,conclusive_benefit,TRUE,0.954237596103909,Adequate
CD012635_pub2_data,binary,50,18335,0,4.076,0.384,0.79984,continue,FALSE,0.602127060974154,Marginal
CD012642_pub2_data,binary,108,3398,36.4,0.92,0.034,0.59866,futile,FALSE,0.521715023088887,Marginal
CD012693_pub3_data,binary,445,110679,43.1,21.402,0.228,0.6436,continue,FALSE,0.53228,Marginal
CD012712_pub2_data,binary,515,96832,22,19.935,1,0.934,conclusive_harm,TRUE,0.9802,Adequate
CD012718_pub2_data,binary,54,21636,97.1,0.384,0.566,0.53626,continue,TRUE,0.395944314132805,Inadequate
CD012757_pub2_data,binary,24,1886,77.1,0.602,0.325,0.35112,continue,FALSE,0.321262361441696,Inadequate
CD012850_pub2_data,binary,104,3981,14.9,0.89,0.68,0.80092,conclusive_harm,TRUE,0.781320152978557,Adequate
CD012886_pub3_data,binary,2,294,0,0.244,0.434,0.42364,continue,FALSE,0.333320516475409,Inadequate
CD012891_pub2_data,binary,48,4774,58,0.595,0.794,0.67686,conclusive_harm,TRUE,0.733736099139642,Marginal
CD012905_pub2_data,binary,101,13543,34.1,2.01,0.522,0.71854,conclusive_harm,TRUE,0.820438201824844,Adequate
CD012925_pub2_data,binary,99,301136,61.5,6.954,0.039,0.52732,futile,FALSE,0.609044652749419,Marginal
CD012942_pub2_data,binary,825,268380,67.4,29.723,1,0.7978,conclusive_benefit,TRUE,0.93934,Adequate
CD012967_pub2_data,binary,8,2572,0,0.015,0.059,0.38758,continue,FALSE,0.25460177736461,Inadequate
CD012993_pub2_data,binary,55,5073,0,1.142,0.089,0.73672,futile,FALSE,0.59347132063926,Marginal
CD012997_pub3_data,binary,12,1034,0,0.303,0.07,0.42528,continue,FALSE,0.282837989473596,Inadequate
CD013023_pub2_data,binary,53,6172,27.7,0.75,0.08,0.65032,futile,FALSE,0.527604133759629,Marginal
CD013038_pub3_data,binary,39,8232,0,0.136,0.041,0.6255,continue,FALSE,0.328968716096266,Inadequate
CD013042_pub2_data,binary,312,24448,13.3,4.132,0.878,0.84772,conclusive_benefit,TRUE,0.935636000157203,Adequate
CD013051_pub3_data,binary,19,1795,26.5,2.271,1,0.6725,conclusive_benefit,TRUE,0.887156845142552,Adequate
CD013052_pub3_data,binary,44,3954,0,4.987,0.246,0.72838,continue,FALSE,0.560345163893865,Marginal
CD013053_pub3_data,binary,11,823,0,1.005,1,0.688,conclusive_benefit,TRUE,0.806899995833375,Adequate
CD013054_pub3_data,binary,54,5448,78.7,3.26,0.601,0.59686,conclusive_harm,TRUE,0.817053653990972,Adequate
CD013055_pub3_data,binary,11,1655,0,0.754,1,0.688,conclusive_benefit,TRUE,0.782284506414582,Adequate
CD013056_pub3_data,binary,21,3098,83.7,0.446,0.425,0.3231,continue,FALSE,0.315328787674369,Inadequate
CD013057_pub3_data,binary,3,377,0,0.246,0.054,0.34524,continue,FALSE,0.252919076441194,Inadequate
CD013059_pub2_data,binary,363,12889,0,0.012,0.269,0.7807,continue,FALSE,0.403909177298648,Inadequate
CD013071_pub2_data,binary,201,47104,0,0.627,0.065,0.72676,futile,FALSE,0.537116700951636,Marginal
CD013078_pub2_data,binary,24,643,0,0.056,0.081,0.52566,continue,FALSE,0.301142535276992,Inadequate
