dataset,IAI,IAI_class,IAI_empirical,IAI_empirical_class
CD011670_pub3_data,0.2725,Inadequate,0.336222545152847,Inadequate
CD011671_pub3_data,0.95,Adequate,0.849999999999898,Adequate
CD011689_pub4_data,0.95,Adequate,0.85,Adequate
CD011762_pub2_data,0.95,Adequate,0.85,Adequate
CD011778_pub2_data,0.3576,Inadequate,0.42875,Inadequate
CD011793_pub3_data,0.3339,Inadequate,0.466992334265301,Inadequate
CD011800_pub2_data,0.398,Inadequate,0.449,Inadequate
CD011806_pub2_data,0.277,Inadequate,0.338501046934028,Inadequate
CD011841_pub3_data,0.3632,Inadequate,0.481508096499583,Inadequate
CD011851_pub3_data,0.2081,Critical,0.304052399388734,Inadequate
CD011858_pub2_data,0.2408,Critical,0.320332220181041,Inadequate
CD011866_pub3_data,0.5893,Marginal,0.494696351727399,Inadequate
CD011885_pub2_data,0.8093,Adequate,0.779634053477421,Adequate
CD012067_pub3_data,0.9368,Adequate,0.843421601222152,Adequate
CD012079_pub2_data,0.6194,Marginal,0.609674872898564,Marginal
CD012152_pub4_data,0.8865,Adequate,0.818199793184542,Adequate
CD012170_pub2_data,0.3591,Inadequate,0.4295,Inadequate
CD012178_pub2_data,0.3592,Inadequate,0.37950225671021,Inadequate
CD012186_pub2_data,0.9406,Adequate,0.845348639209417,Adequate
CD012214_pub3_data,0.6488,Marginal,0.699487993066694,Marginal
CD012265_pub2_data,0.1818,Critical,0.290963835113079,Inadequate
CD012268_pub2_data,0.362,Inadequate,0.431,Inadequate
CD012335_pub2_data,0.2095,Critical,0.304701450417574,Inadequate
CD012397_pub2_data,0.2233,Critical,0.311550361220471,Inadequate
CD012426_pub2_data,0.9189,Adequate,0.834399999025833,Adequate
CD012429_pub2_data,0.8011,Adequate,0.775556663217422,Adequate
CD012445_pub2_data,0.3659,Inadequate,0.43295,Inadequate
CD012503_pub3_data,0.8117,Adequate,0.78085,Adequate
CD012532_pub2_data,0.3592,Inadequate,0.42965,Inadequate
CD012570_pub2_data,0.5859,Marginal,0.492855168461521,Inadequate
CD012572_pub3_data,0.9497,Adequate,0.849825974448003,Adequate
CD012586_pub2_data,0.8728,Adequate,0.81145,Adequate
CD012594_pub2_data,0.2752,Inadequate,0.337555010537876,Inadequate
CD012609_pub2_data,0.6898,Marginal,0.719890861277464,Marginal
CD012623_pub2_data,0.9497,Adequate,0.849837596103909,Adequate
CD012635_pub2_data,0.6243,Marginal,0.512175060974154,Marginal
CD012642_pub2_data,0.3841,Inadequate,0.492117023088887,Inadequate
CD012693_pub3_data,0.5784,Marginal,0.4892,Inadequate
CD012712_pub2_data,0.95,Adequate,0.85,Adequate
CD012718_pub2_data,0.3701,Inadequate,0.385066314132805,Inadequate
CD012757_pub2_data,0.3319,Inadequate,0.365926361441696,Inadequate
CD012850_pub2_data,0.6319,Marginal,0.691044152978557,Marginal
CD012886_pub3_data,0.3125,Inadequate,0.356228516475409,Inadequate
CD012891_pub2_data,0.6114,Marginal,0.680678099139642,Marginal
CD012905_pub2_data,0.7596,Adequate,0.754876201824844,Adequate
CD012925_pub2_data,0.6017,Marginal,0.600848652749419,Marginal
CD012942_pub2_data,0.95,Adequate,0.85,Adequate
CD012967_pub2_data,0.1765,Critical,0.28832777736461,Inadequate
CD012993_pub2_data,0.4449,Inadequate,0.52245532063926,Marginal
CD012997_pub3_data,0.2106,Critical,0.305253989473596,Inadequate
CD013023_pub2_data,0.365,Inadequate,0.482508133759629,Inadequate
CD013038_pub3_data,0.1827,Critical,0.291318716096266,Inadequate
CD013042_pub2_data,0.9128,Adequate,0.831320000157203,Adequate
CD013051_pub3_data,0.9208,Adequate,0.835406845142552,Adequate
CD013052_pub3_data,0.5837,Marginal,0.491831163893865,Inadequate
CD013053_pub3_data,0.751,Adequate,0.750499995833375,Adequate
CD013054_pub3_data,0.826,Adequate,0.787995653990972,Adequate
CD013055_pub3_data,0.7018,Marginal,0.725884506414582,Marginal
CD013056_pub3_data,0.3367,Inadequate,0.368398787674369,Inadequate
CD013057_pub3_data,0.1988,Critical,0.299347076441194,Inadequate
CD013059_pub2_data,0.2395,Critical,0.319699177298648,Inadequate
CD013071_pub2_data,0.3382,Inadequate,0.469088700951636,Inadequate
CD013078_pub2_data,0.1868,Critical,0.293444535276992,Inadequate
CD013105_pub2_data,0.534,Marginal,0.566988088238186,Marginal
CD013111_pub2_data,0.4245,Inadequate,0.412254433788429,Inadequate
CD013158_pub2_data,0.3098,Inadequate,0.354790061346148,Inadequate
CD013166_pub3_data,0.2523,Inadequate,0.326132948695698,Inadequate
CD013197_pub2_data,0.5199,Marginal,0.45989218713128,Inadequate
CD013232_pub2_data,0.95,Adequate,0.849999999956897,Adequate
CD013255_pub2_data,0.9052,Adequate,0.827630358420452,Adequate
CD013278_pub3_data,0.6118,Marginal,0.505991246099147,Marginal
CD013284_pub2_data,0.2493,Critical,0.324560812939327,Inadequate
CD013294_pub2_data,0.1828,Critical,0.291372313263816,Inadequate
CD013295_pub2_data,0.9497,Adequate,0.849838054058061,Adequate
CD013303_pub2_data,0.886,Adequate,0.818014253758896,Adequate
CD013329_pub2_data,0.3597,Inadequate,0.4298,Inadequate
CD013331_pub2_data,0.2412,Critical,0.320654682121615,Inadequate
CD013332_pub2_data,0.827,Adequate,0.788449138190362,Adequate
CD013342_pub2_data,0.6283,Marginal,0.689112415855118,Marginal
CD013344_pub2_data,0.7642,Adequate,0.757067096494129,Adequate
CD013353_pub2_data,0.3575,Inadequate,0.42875,Inadequate
CD013355_pub2_data,0.2382,Critical,0.319059675853205,Inadequate
CD013358_pub2_data,0.2233,Critical,0.31165184506246,Inadequate
CD013366_pub2_data,0.947,Adequate,0.848521691731144,Adequate
CD013377_pub2_data,0.2698,Inadequate,0.334883003391488,Inadequate
CD013396_pub2_data,0.9414,Adequate,0.845649999999989,Adequate
CD013408_pub2_data,0.9019,Adequate,0.82600280241014,Adequate
CD013414_pub2_data,0.8696,Adequate,0.809811209021215,Adequate
CD013421_pub2_data,0.4294,Inadequate,0.414657159625198,Inadequate
CD013425_pub2_data,0.6023,Marginal,0.601114386837264,Marginal
CD013429_pub2_data,0.6287,Marginal,0.689373145610177,Marginal
CD013445_pub2_data,0.6533,Marginal,0.526699999998607,Marginal
CD013456_pub2_data,0.9498,Adequate,0.849875606430832,Adequate
CD013462_pub3_data,0.8546,Adequate,0.802314692226444,Adequate
CD013468_pub2_data,0.6765,Marginal,0.713202552912539,Marginal
CD013474_pub2_data,0.5728,Marginal,0.58642554856491,Marginal
CD013476_pub2_data,0.2704,Inadequate,0.33516298555186,Inadequate
CD013508_pub3_data,0.1847,Critical,0.292362586906169,Inadequate
CD013539_pub2_data,0.5697,Marginal,0.48485,Inadequate
CD013541_pub2_data,0.8485,Adequate,0.799328949780813,Adequate
CD013561_pub2_data,0.3234,Inadequate,0.36169544748313,Inadequate
CD013571_pub2_data,0.3981,Inadequate,0.399067782997644,Inadequate
CD013590_pub2_data,0.3837,Inadequate,0.39180324178951,Inadequate
CD013591_pub2_data,0.3615,Inadequate,0.4307,Inadequate
CD013595_pub2_data,0.9363,Adequate,0.843200345705478,Adequate
CD013613_pub2_data,0.3567,Inadequate,0.478407652630174,Inadequate
CD013614_pub2_data,0.95,Adequate,0.849999956800552,Adequate
CD013631_pub2_data,0.2766,Inadequate,0.338282743153017,Inadequate
CD013643_pub2_data,0.4156,Inadequate,0.407758244963792,Inadequate
CD013672_pub2_data,0.9499,Adequate,0.849933063935059,Adequate
CD013707_pub2_data,0.2218,Critical,0.310913109393326,Inadequate
CD013715_pub2_data,0.846,Adequate,0.798001209987439,Adequate
CD013719_pub2_data,0.4861,Inadequate,0.442984506733714,Inadequate
CD013726_pub2_data,0.4756,Inadequate,0.437800032550456,Inadequate
CD013729_pub2_data,0.173,Critical,0.28648128455378,Inadequate
CD013731_pub2_data,0.1942,Critical,0.297159023421304,Inadequate
CD013745_pub2_data,0.5942,Marginal,0.497075767268668,Inadequate
CD013748_pub2_data,0.9172,Adequate,0.833577842091538,Adequate
CD013757_pub3_data,0.9221,Adequate,0.835989043110243,Adequate
CD013758_pub2_data,0.3403,Inadequate,0.37021246797751,Inadequate
CD013763_pub3_data,0.8401,Adequate,0.79510359213538,Adequate
CD013764_pub2_data,0.5812,Marginal,0.490572260677819,Inadequate
CD013773_pub2_data,0.7309,Marginal,0.740477052226409,Marginal
CD013774_pub2_data,0.8485,Adequate,0.799150039916614,Adequate
CD013781_pub2_data,0.95,Adequate,0.84999927814498,Adequate
CD013789_pub2_data,0.462,Inadequate,0.48095,Inadequate
CD013800_pub2_data,0.9125,Adequate,0.83124999999841,Adequate
CD013801_pub2_data,0.2794,Inadequate,0.339655010537876,Inadequate
CD013810_pub2_data,0.3589,Inadequate,0.4295,Inadequate
CD013816_pub2_data,0.2164,Critical,0.308174074360189,Inadequate
CD013821_pub2_data,0.5993,Marginal,0.599640439894996,Marginal
CD013822_pub2_data,0.9468,Adequate,0.848448074345025,Adequate
CD013823_pub2_data,0.2738,Inadequate,0.336822964339538,Inadequate
CD013827_pub2_data,0.5637,Marginal,0.481935780546284,Inadequate
CD013830_pub2_data,0.95,Adequate,0.849999999266679,Adequate
CD013834_pub2_data,0.3689,Inadequate,0.43445,Inadequate
CD013844_pub2_data,0.5563,Marginal,0.478109972234938,Inadequate
CD013853_pub2_data,0.1768,Critical,0.288358244963792,Inadequate
CD013857_pub2_data,0.194,Critical,0.297062767133542,Inadequate
CD013874_pub3_data,0.8019,Adequate,0.775952121591754,Adequate
CD013875_pub2_data,0.82,Adequate,0.785048801056769,Adequate
CD014040_pub2_data,0.9494,Adequate,0.849699964347198,Adequate
CD014089_data,0.2575,Inadequate,0.328760258515092,Inadequate
CD014145_pub2_data,0.239,Critical,0.319525811641738,Inadequate
CD014160_pub2_data,0.3585,Inadequate,0.4292,Inadequate
CD014300_pub2_data,0.3646,Inadequate,0.482260633087284,Inadequate
CD014428_pub2_data,0.3617,Inadequate,0.43085,Inadequate
CD014497_pub2_data,0.4101,Inadequate,0.404951265848364,Inadequate
CD014541_pub2_data,0.6104,Marginal,0.60522023578692,Marginal
CD014544_pub2_data,0.675,Marginal,0.712494438210818,Marginal
CD014573_data,0.3575,Inadequate,0.42875,Inadequate
CD014574_pub2_data,0.4965,Inadequate,0.548216568135233,Marginal
CD014580_pub2_data,0.1995,Critical,0.299766080119772,Inadequate
CD014585_pub2_data,0.948,Adequate,0.849008614567064,Adequate
CD014594_pub2_data,0.5568,Marginal,0.478428046338025,Inadequate
CD014617_pub3_data,0.5836,Marginal,0.591809256398078,Marginal
CD014623_pub2_data,0.2051,Critical,0.302514544696016,Inadequate
CD014624_pub2_data,0.95,Adequate,0.849999907442742,Adequate
CD014666_pub2_data,0.3264,Inadequate,0.363264003875546,Inadequate
CD014678_pub2_data,0.8022,Adequate,0.776046064440853,Adequate
CD014687_pub2_data,0.4287,Inadequate,0.414377345069993,Inadequate
CD014688_pub2_data,0.3737,Inadequate,0.43685,Inadequate
CD014713_pub2_data,0.5983,Marginal,0.599146387258354,Marginal
CD014722_pub2_data,0.95,Adequate,0.849999999798542,Adequate
CD014736_pub2_data,0.1904,Critical,0.295175791137404,Inadequate
CD014741_pub2_data,0.5657,Marginal,0.482899889188853,Inadequate
CD014755_pub2_data,0.1863,Critical,0.293117722715092,Inadequate
CD014758_pub3_data,0.3972,Inadequate,0.44855,Inadequate
CD014762_pub2_data,0.3431,Inadequate,0.471523825912465,Inadequate
CD014763_pub2_data,0.6791,Marginal,0.714447364970232,Marginal
CD014769_pub2_data,0.9475,Adequate,0.8488,Adequate
CD014785_pub2_data,0.2032,Critical,0.301614341787478,Inadequate
CD014792_pub2_data,0.4523,Inadequate,0.526088104587081,Marginal
CD014802_pub2_data,0.4758,Inadequate,0.537861036238683,Marginal
CD014803_pub2_data,0.1827,Critical,0.291393012516139,Inadequate
CD014811_pub2_data,0.3473,Inadequate,0.473696695391055,Inadequate
CD014820_pub2_data,0.9063,Adequate,0.8281,Adequate
CD014833_pub2_data,0.8015,Adequate,0.775682921027366,Adequate
CD014844_pub2_data,0.7792,Adequate,0.764633290297975,Adequate
CD014845_pub2_data,0.5812,Marginal,0.54065,Marginal
CD014852_pub2_data,0.86,Adequate,0.804999999624754,Adequate
CD014855_pub2_data,0.4618,Inadequate,0.430959158370731,Inadequate
CD014861_pub2_data,0.4354,Inadequate,0.417680616834505,Inadequate
CD014869_pub2_data,0.6071,Marginal,0.603549998555407,Marginal
CD014871_pub2_data,0.3609,Inadequate,0.4304,Inadequate
CD014872_pub2_data,0.9499,Adequate,0.849954946649536,Adequate
CD014889_pub2_data,0.7121,Marginal,0.731032501821977,Marginal
CD014891_pub2_data,0.2384,Critical,0.319201203332468,Inadequate
CD014914_pub2_data,0.9456,Adequate,0.847846485984397,Adequate
CD014920_pub2_data,0.3533,Inadequate,0.376708244963792,Inadequate
CD014923_pub2_data,0.4578,Inadequate,0.42894024399628,Inadequate
CD014932_pub2_data,0.358,Inadequate,0.42905,Inadequate
CD014935_pub2_data,0.1853,Critical,0.292695155005165,Inadequate
CD014937_pub2_data,0.95,Adequate,0.849999999990629,Adequate
CD014941_pub2_data,0.9068,Adequate,0.82841281116904,Adequate
CD014944_pub2_data,0.3437,Inadequate,0.471817742684853,Inadequate
CD014959_pub2_data,0.3147,Inadequate,0.357283015461823,Inadequate
CD014960_pub2_data,0.2,Critical,0.299967736033407,Inadequate
CD014964_pub2_data,0.95,Adequate,0.849999999973168,Adequate
CD014965_pub2_data,0.6986,Marginal,0.724290061346148,Marginal
CD014966_pub2_data,0.86,Adequate,0.804999999999903,Adequate
CD014967_pub2_data,0.4783,Inadequate,0.539163428494795,Marginal
CD014999_pub2_data,0.4684,Inadequate,0.434185487530013,Inadequate
CD015003_pub2_data,0.2506,Inadequate,0.32537999878315,Inadequate
CD015014_pub2_data,0.8701,Adequate,0.810099999820606,Adequate
CD015033_pub2_data,0.8707,Adequate,0.810390439894997,Adequate
CD015038_pub2_data,0.8273,Adequate,0.788655882461981,Adequate
CD015040_pub2_data,0.3813,Inadequate,0.4406,Inadequate
CD015042_pub2_data,0.5629,Marginal,0.581485626204842,Marginal
CD015046_pub2_data,0.2455,Critical,0.322775791137404,Inadequate
CD015060_pub2_data,0.1885,Critical,0.294219093777091,Inadequate
CD015064_pub2_data,0.4418,Inadequate,0.420879253242195,Inadequate
CD015066_pub2_data,0.3819,Inadequate,0.39095840393379,Inadequate
CD015083_pub2_data,0.3852,Inadequate,0.44255,Inadequate
CD015084_pub2_data,0.4706,Inadequate,0.435304573524556,Inadequate
CD015087_pub2_data,0.3999,Inadequate,0.399950812693278,Inadequate
CD015101_data,0.2038,Critical,0.301871159631218,Inadequate
CD015120_pub2_data,0.4829,Inadequate,0.49145,Inadequate
CD015122_pub2_data,0.7597,Adequate,0.754803824129246,Adequate
CD015123_pub2_data,0.6858,Marginal,0.717929450888476,Marginal
CD015134_pub2_data,0.5775,Marginal,0.588774637222592,Marginal
CD015140_pub2_data,0.4804,Inadequate,0.440153088192182,Inadequate
CD015145_pub2_data,0.4049,Inadequate,0.402401858906501,Inadequate
