"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,5,"Abdominal distension",NA,"SUBGROUP_AND_OVERALL","Amatyakul 2001",2001,0,0,0,0,11,53,0,0,12,53,0,0,17.989442,0.916667,0.444344,1.891051,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004508.pub5/full","10.1002/14651858.CD004508.pub5","5::overall","CD004508_pub5_data","direction_only",FALSE,FALSE,FALSE,-0.0165633998531304,0.0126463991399032,-0.429048472534218,0.395921672827957,-0.0171195009962024,0.0424122992760088,TRUE,FALSE
1,5,"Abdominal distension",NA,"SUBGROUP_AND_OVERALL","Balayla 2015",2015,0,0,0,0,1,61,0,0,0,58,0,0,0.768144,2.854839,0.118638,68.697342,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004508.pub5/full","10.1002/14651858.CD004508.pub5","5::overall","CD004508_pub5_data","direction_only",FALSE,FALSE,FALSE,-0.0165633998531304,0.0126463991399032,-0.429048472534218,0.395921672827957,-0.0171195009962024,0.0424122992760088,TRUE,FALSE
1,5,"Abdominal distension",NA,"SUBGROUP_AND_OVERALL","MacMillan 2000",2000,0,0,0,0,14,67,0,0,20,72,0,0,28.9039,0.752239,0.414298,1.365836,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004508.pub5/full","10.1002/14651858.CD004508.pub5","5::overall","CD004508_pub5_data","direction_only",FALSE,FALSE,FALSE,-0.0165633998531304,0.0126463991399032,-0.429048472534218,0.395921672827957,-0.0171195009962024,0.0424122992760088,TRUE,FALSE
1,5,"Abdominal distension",NA,"SUBGROUP_AND_OVERALL","Pearl 1998",1998,0,0,0,0,37,92,0,0,37,103,0,0,52.338514,1.119565,0.782187,1.602465,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004508.pub5/full","10.1002/14651858.CD004508.pub5","5::overall","CD004508_pub5_data","direction_only",FALSE,FALSE,FALSE,-0.0165633998531304,0.0126463991399032,-0.429048472534218,0.395921672827957,-0.0171195009962024,0.0424122992760088,TRUE,FALSE
