scenario,method,N,Bias,Bias_MCSE,RMSE,Mean_SE,Coverage,Coverage_MCSE,CI_Width,Convergence
k10_high_het,MWM_v3,1000,0.002,0.0053,0.1671,0.1642,95.5,0.7,0.757,100
k10_high_het,SIT_v3,1000,0.0026,0.0053,0.1678,0.1625,95.3,0.7,0.749,100
k10_high_het,ARP_v3,1000,0.0025,0.0053,0.1669,0.1628,95.8,0.6,0.751,100
k10_high_het,RVE,1000,0.0025,0.0053,0.1669,0.1628,95.5,0.7,0.738,100
k10_outlier,REML,1000,0.1069,0.0034,0.1523,0.152,93,0.8,0.596,100
k10_outlier,HKSJ,1000,0.1069,0.0034,0.1523,0.1528,96.1,0.6,0.691,100
k10_outlier,MWM_v3,1000,0.0931,0.0036,0.146,0.1531,97.1,0.5,0.706,100
k10_outlier,SIT_v3,1000,0.0998,0.0037,0.1526,0.1496,95.8,0.6,0.691,100
k10_outlier,ARP_v3,1000,0.107,0.0034,0.1524,0.1521,96.4,0.6,0.702,100
k10_outlier,RVE,1000,0.1069,0.0034,0.1523,0.1519,96.2,0.6,0.689,100
k15_outlier,REML,1000,0.0684,0.0028,0.1129,0.1138,93.8,0.8,0.446,100
k15_outlier,HKSJ,1000,0.0684,0.0028,0.1129,0.1144,95.8,0.6,0.491,100
k15_outlier,MWM_v3,1000,0.0585,0.0029,0.109,0.1147,96.6,0.6,0.496,100
k15_outlier,SIT_v3,1000,0.048,0.0033,0.1155,0.1073,94,0.8,0.465,100
k15_outlier,ARP_v3,1000,0.0686,0.0028,0.113,0.1141,95.8,0.6,0.493,100
k15_outlier,RVE,1000,0.0684,0.0028,0.1129,0.1137,95.6,0.6,0.489,100
k15_pubbias_mild,REML,1000,0.0287,0.003,0.0978,0.093,92.8,0.8,0.365,100
k15_pubbias_mild,HKSJ,1000,0.0287,0.003,0.0978,0.0911,94.1,0.7,0.394,100
k15_pubbias_mild,MWM_v3,1000,0.0287,0.0029,0.097,0.094,94.9,0.7,0.41,100
k15_pubbias_mild,SIT_v3,1000,0.0294,0.003,0.0991,0.0918,93.8,0.8,0.401,100
k15_pubbias_mild,ARP_v3,1000,0.0287,0.003,0.0978,0.093,94.8,0.7,0.405,100
k15_pubbias_mild,RVE,1000,0.0287,0.003,0.0978,0.0912,93.8,0.8,0.396,100
k15_pubbias_mod,REML,1000,0.0545,0.0029,0.1066,0.0922,90,0.9,0.361,100
k15_pubbias_mod,HKSJ,1000,0.0545,0.0029,0.1066,0.0894,92.2,0.8,0.388,100
k15_pubbias_mod,MWM_v3,1000,0.0546,0.0029,0.1062,0.0932,93.7,0.8,0.409,100
k15_pubbias_mod,SIT_v3,1000,0.0565,0.0029,0.1085,0.0908,92.5,0.8,0.398,100
k15_pubbias_mod,ARP_v3,1000,0.0545,0.0029,0.1066,0.0921,93.7,0.8,0.404,100
k15_pubbias_mod,RVE,1000,0.0545,0.0029,0.1066,0.0896,92,0.9,0.391,100
k15_pubbias_severe,REML,1000,0.0851,0.0027,0.1202,0.0906,85.3,1.1,0.355,100
k15_pubbias_severe,HKSJ,1000,0.0851,0.0027,0.1202,0.0853,86.8,1.1,0.374,100
k15_pubbias_severe,MWM_v3,1000,0.0848,0.0027,0.1197,0.0916,91.4,0.9,0.406,100
k15_pubbias_severe,SIT_v3,1000,0.0877,0.0027,0.1226,0.089,89.8,1,0.395,100
k15_pubbias_severe,ARP_v3,1000,0.0851,0.0027,0.1203,0.0905,90.7,0.9,0.401,100
k15_pubbias_severe,RVE,1000,0.0851,0.0027,0.1202,0.0855,87.3,1.1,0.378,100
