scenario,iter,method,est,se,ci_lb,ci_ub,true
S1_Standard_k10,12,SIT_v2,0.3788,0.0903,0.1707,0.5869,0.3
S1_Standard_k10,12,ARP_v2,0.3291,0.0868,0.129,0.5292,0.3
S1_Standard_k10,13,REML,0.256580290628728,0.0778842014078749,0.10393006090463,0.409230520352827,0.3
S1_Standard_k10,13,HKSJ,0.256580290628728,0.0755894663462468,0.0855850379014722,0.427575543355984,0.3
S1_Standard_k10,13,MWM_v2,0.2429,0.0784,0.0621,0.4236,0.3
S1_Standard_k10,13,SIT_v2,0.1804,0.0825,-0.0098,0.3706,0.3
S1_Standard_k10,13,ARP_v2,0.2569,0.0769,0.0795,0.4342,0.3
S1_Standard_k10,14,REML,0.19065406525636,0.0693083025965781,0.054812288337463,0.326495842175257,0.3
S1_Standard_k10,14,HKSJ,0.19065406525636,0.0670804963909962,0.0389074398614088,0.342400690651311,0.3
S1_Standard_k10,14,MWM_v2,0.2024,0.0697,0.0416,0.3632,0.3
S1_Standard_k10,14,SIT_v2,0.2457,0.0728,0.0777,0.4137,0.3
S1_Standard_k10,14,ARP_v2,0.1905,0.068,0.0336,0.3474,0.3
S1_Standard_k10,15,REML,0.274450865677267,0.0825837040408373,0.11258978004731,0.436311951307223,0.3
S1_Standard_k10,15,HKSJ,0.274450865677267,0.0821091345828813,0.0887070987494397,0.460194632605093,0.3
S1_Standard_k10,15,MWM_v2,0.2739,0.0829,0.0826,0.4652,0.3
S1_Standard_k10,15,SIT_v2,0.2986,0.0846,0.1035,0.4937,0.3
S1_Standard_k10,15,ARP_v2,0.2745,0.0824,0.0844,0.4645,0.3
S1_Standard_k10,16,REML,0.386065531372925,0.0655262642844766,0.257636413333898,0.514494649411953,0.3
S1_Standard_k10,16,HKSJ,0.386065531372925,0.0612624241206824,0.247480299837942,0.524650762907908,0.3
S1_Standard_k10,16,MWM_v2,0.3904,0.0663,0.2376,0.5432,0.3
S1_Standard_k10,16,SIT_v2,0.3841,0.0643,0.2357,0.5325,0.3
S1_Standard_k10,16,ARP_v2,0.3862,0.0629,0.2411,0.5312,0.3
S1_Standard_k10,17,REML,0.152350042225194,0.0745678250870122,0.00619979064916779,0.29850029380122,0.3
S1_Standard_k10,17,HKSJ,0.152350042225194,0.0778279547948738,-0.0237090231799647,0.328409107630353,0.3
S1_Standard_k10,17,MWM_v2,0.1515,0.0748,-0.0211,0.3241,0.3
S1_Standard_k10,17,SIT_v2,0.1202,0.0832,-0.0716,0.312,0.3
S1_Standard_k10,17,ARP_v2,0.1523,0.076,-0.0229,0.3276,0.3
S1_Standard_k10,18,REML,0.30376051438552,0.0874398967733682,0.132381465897818,0.475139562873222,0.3
S1_Standard_k10,18,HKSJ,0.30376051438552,0.0880265319238161,0.104630664677775,0.502890364093266,0.3
S1_Standard_k10,18,MWM_v2,0.3113,0.0877,0.1091,0.5136,0.3
S1_Standard_k10,18,SIT_v2,0.321,0.0885,0.1169,0.525,0.3
S1_Standard_k10,18,ARP_v2,0.3037,0.0873,0.1023,0.505,0.3
S1_Standard_k10,19,REML,0.228872556561458,0.0938709129726146,0.0448889479392392,0.412856165183676,0.3
S1_Standard_k10,19,HKSJ,0.228872556561458,0.0929379904314436,0.0186322158108965,0.439112897312019,0.3
S1_Standard_k10,19,MWM_v2,0.237,0.0942,0.0197,0.4543,0.3
S1_Standard_k10,19,SIT_v2,0.291,0.0982,0.0645,0.5175,0.3
S1_Standard_k10,19,ARP_v2,0.2289,0.0934,0.0134,0.4443,0.3
S1_Standard_k10,20,REML,0.287878144302796,0.075219196967283,0.140451227300897,0.435305061304696,0.3
S1_Standard_k10,20,HKSJ,0.287878144302796,0.0736136564373433,0.121352484113294,0.454403804492299,0.3
S1_Standard_k10,20,MWM_v2,0.3025,0.0755,0.1284,0.4766,0.3
S1_Standard_k10,20,SIT_v2,0.3636,0.0797,0.1798,0.5475,0.3
S1_Standard_k10,20,ARP_v2,0.2878,0.0746,0.1157,0.4599,0.3
S1_Standard_k10,21,REML,0.355284577472601,0.148467917568398,0.0642928061788795,0.646276348766322,0.3
S1_Standard_k10,21,HKSJ,0.355284577472601,0.147868192009032,0.0207834877693497,0.689785667175852,0.3
S1_Standard_k10,21,MWM_v2,0.3415,0.1489,-0.002,0.685,0.3
S1_Standard_k10,21,SIT_v2,0.2581,0.1556,-0.1008,0.617,0.3
S1_Standard_k10,21,ARP_v2,0.3553,0.1486,0.0126,0.698,0.3
S1_Standard_k10,22,REML,0.419351241345904,0.0888328767738571,0.24524200222606,0.593460480465749,0.3
S1_Standard_k10,22,HKSJ,0.419351241345904,0.0832631887348352,0.230996822551978,0.607705660139831,0.3
S1_Standard_k10,22,MWM_v2,0.4259,0.0896,0.2194,0.6324,0.3
S1_Standard_k10,22,SIT_v2,0.4291,0.0849,0.2333,0.625,0.3
S1_Standard_k10,22,ARP_v2,0.4191,0.0866,0.2193,0.6189,0.3
S1_Standard_k10,23,REML,0.222013001251154,0.0682583972670487,0.0882290009653115,0.355797001536997,0.3
S1_Standard_k10,23,HKSJ,0.222013001251154,0.0739205158300869,0.054793176888385,0.389232825613923,0.3
S1_Standard_k10,23,MWM_v2,0.2247,0.0685,0.0668,0.3827,0.3
S1_Standard_k10,23,SIT_v2,0.1841,0.0769,0.0068,0.3615,0.3
S1_Standard_k10,23,ARP_v2,0.2232,0.0719,0.0574,0.389,0.3
S1_Standard_k10,24,REML,0.390197736685856,0.105399576893757,0.183618361988331,0.59677711138338,0.3
S1_Standard_k10,24,HKSJ,0.390197736685856,0.104856630676167,0.152995558534879,0.627399914836833,0.3
S1_Standard_k10,24,MWM_v2,0.395,0.1058,0.151,0.6389,0.3
S1_Standard_k10,24,SIT_v2,0.3902,0.1053,0.1474,0.6329,0.3
S1_Standard_k10,24,ARP_v2,0.3902,0.105,0.148,0.6324,0.3
S1_Standard_k10,25,REML,0.269012873143464,0.0725431934590586,0.126830826640187,0.41119491964674,0.3
S1_Standard_k10,25,HKSJ,0.269012873143464,0.0698230525050138,0.111062154790812,0.426963591496116,0.3
S1_Standard_k10,25,MWM_v2,0.2675,0.0731,0.099,0.436,0.3
S1_Standard_k10,25,SIT_v2,0.2464,0.0744,0.0748,0.418,0.3
S1_Standard_k10,25,ARP_v2,0.2689,0.0713,0.1044,0.4334,0.3
S1_Standard_k10,26,REML,0.330927145203431,0.0706245116315568,0.19250564597985,0.469348644427013,0.3
S1_Standard_k10,26,HKSJ,0.330927145203431,0.0694143323827994,0.173901016002826,0.487953274404037,0.3
S1_Standard_k10,26,MWM_v2,0.3397,0.0712,0.1755,0.5039,0.3
S1_Standard_k10,26,SIT_v2,0.4063,0.0776,0.2273,0.5853,0.3
S1_Standard_k10,26,ARP_v2,0.3307,0.0701,0.1691,0.4923,0.3
S1_Standard_k10,27,REML,0.317378888990125,0.0528908744583243,0.21371467994098,0.42104309803927,0.3
S1_Standard_k10,27,HKSJ,0.317378888990125,0.0536852127962661,0.195934500326706,0.438823277653544,0.3
S1_Standard_k10,27,MWM_v2,0.3111,0.0532,0.1884,0.4337,0.3
S1_Standard_k10,27,SIT_v2,0.3207,0.0549,0.1941,0.4473,0.3
S1_Standard_k10,27,ARP_v2,0.3174,0.0534,0.1942,0.4406,0.3
S1_Standard_k10,28,REML,0.21143420870261,0.102198634700017,0.0111285654214108,0.411739851983809,0.3
S1_Standard_k10,28,HKSJ,0.21143420870261,0.100758336492051,-0.0164969839045143,0.439365401309734,0.3
S1_Standard_k10,28,MWM_v2,0.2142,0.1027,-0.0226,0.451,0.3
S1_Standard_k10,28,SIT_v2,0.2865,0.1068,0.0402,0.5328,0.3
S1_Standard_k10,28,ARP_v2,0.2114,0.1017,-0.0232,0.446,0.3
S1_Standard_k10,29,REML,0.440032036295316,0.0810592014493638,0.281158920838986,0.598905151751646,0.3
S1_Standard_k10,29,HKSJ,0.440032036295316,0.0811415999706145,0.256476984720884,0.623587087869748,0.3
S1_Standard_k10,29,MWM_v2,0.4374,0.0814,0.2497,0.6252,0.3
S1_Standard_k10,29,SIT_v2,0.4321,0.0828,0.2411,0.6231,0.3
S1_Standard_k10,29,ARP_v2,0.4401,0.0809,0.2535,0.6266,0.3
S1_Standard_k10,30,REML,0.369559237875833,0.117782527210016,0.138709726536093,0.600408749215574,0.3
S1_Standard_k10,30,HKSJ,0.369559237875833,0.120680070140134,0.0965619528013404,0.642556522950327,0.3
S1_Standard_k10,30,MWM_v2,0.3664,0.1182,0.0937,0.639,0.3
S1_Standard_k10,30,SIT_v2,0.3502,0.126,0.0596,0.6407,0.3
S1_Standard_k10,30,ARP_v2,0.3698,0.1179,0.098,0.6416,0.3
S1_Standard_k10,31,REML,0.492670693984598,0.0981354063534726,0.300328831923589,0.685012556045608,0.3
S1_Standard_k10,31,HKSJ,0.492670693984598,0.100182820004631,0.266041410121799,0.719299977847398,0.3
S1_Standard_k10,31,MWM_v2,0.493,0.0986,0.2657,0.7203,0.3
S1_Standard_k10,31,SIT_v2,0.4996,0.1009,0.267,0.7323,0.3
S1_Standard_k10,31,ARP_v2,0.4926,0.0984,0.2658,0.7195,0.3
S1_Standard_k10,32,REML,0.269734521421586,0.0765307405608058,0.119737026212228,0.419732016630944,0.3
S1_Standard_k10,32,HKSJ,0.269734521421586,0.0812065092829172,0.0860326347813963,0.453436408061777,0.3
S1_Standard_k10,32,MWM_v2,0.2656,0.0767,0.0887,0.4424,0.3
S1_Standard_k10,32,SIT_v2,0.2787,0.0818,0.09,0.4674,0.3
S1_Standard_k10,32,ARP_v2,0.2693,0.0787,0.0879,0.4507,0.3
S1_Standard_k10,33,REML,0.265502350014227,0.131530467595331,0.0077073706576663,0.523297329370788,0.3
S1_Standard_k10,33,HKSJ,0.265502350014227,0.132468622167667,-0.0341624924683706,0.565167192496825,0.3
S1_Standard_k10,33,MWM_v2,0.2579,0.1319,-0.0462,0.5621,0.3
S1_Standard_k10,33,SIT_v2,0.2715,0.1327,-0.0346,0.5777,0.3
S1_Standard_k10,33,ARP_v2,0.2655,0.1322,-0.0393,0.5704,0.3
S1_Standard_k10,34,REML,0.254309065798329,0.126844768491198,0.00569788792826084,0.502920243668397,0.3
S1_Standard_k10,34,HKSJ,0.254309065798329,0.128110401327177,-0.0354967961928968,0.544114927789555,0.3
S1_Standard_k10,34,MWM_v2,0.268,0.1272,-0.0253,0.5613,0.3
S1_Standard_k10,34,SIT_v2,0.3546,0.1346,0.0442,0.665,0.3
S1_Standard_k10,34,ARP_v2,0.2542,0.1256,-0.0354,0.5437,0.3
S1_Standard_k10,35,REML,0.403066412546732,0.0632052227391222,0.27918645234322,0.526946372750244,0.3
S1_Standard_k10,35,HKSJ,0.403066412546732,0.0672385388717338,0.250962270221954,0.55517055487151,0.3
S1_Standard_k10,35,MWM_v2,0.4009,0.0635,0.2545,0.5474,0.3
S1_Standard_k10,35,SIT_v2,0.4053,0.071,0.2415,0.5691,0.3
S1_Standard_k10,35,ARP_v2,0.403,0.0658,0.2512,0.5547,0.3
S1_Standard_k10,36,REML,0.448877782290029,0.0905289419222759,0.27144431656385,0.626311248016208,0.3
S1_Standard_k10,36,HKSJ,0.448877782290029,0.089913472505602,0.245479376429422,0.652276188150636,0.3
S1_Standard_k10,36,MWM_v2,0.4491,0.091,0.2393,0.659,0.3
S1_Standard_k10,36,SIT_v2,0.403,0.0951,0.1838,0.6223,0.3
S1_Standard_k10,36,ARP_v2,0.4489,0.0903,0.2407,0.657,0.3
S1_Standard_k10,37,REML,0.313566802340121,0.0728944405337064,0.17069632422086,0.456437280459382,0.3
S1_Standard_k10,37,HKSJ,0.313566802340121,0.069462573218578,0.15643154478732,0.470702059892922,0.3
S1_Standard_k10,37,MWM_v2,0.2986,0.0735,0.1291,0.4681,0.3
S1_Standard_k10,37,SIT_v2,0.2438,0.0766,0.0672,0.4205,0.3
S1_Standard_k10,37,ARP_v2,0.314,0.0711,0.1499,0.478,0.3
S1_Standard_k10,38,REML,0.225859899216482,0.0972372963181592,0.0352783004788409,0.416441497954123,0.3
S1_Standard_k10,38,HKSJ,0.225859899216482,0.0970909185117679,0.00622498246242936,0.445494815970535,0.3
S1_Standard_k10,38,MWM_v2,0.2257,0.0975,7e-04,0.4506,0.3
S1_Standard_k10,38,SIT_v2,0.2232,0.0972,-8e-04,0.4473,0.3
S1_Standard_k10,38,ARP_v2,0.2259,0.0973,0.0015,0.4502,0.3
S1_Standard_k10,39,REML,0.155657448906005,0.0521410839689247,0.0534628022120336,0.257852095599976,0.3
S1_Standard_k10,39,HKSJ,0.155657448906005,0.0590877985450442,0.0219915621933558,0.289323335618654,0.3
S1_Standard_k10,39,MWM_v2,0.158,0.0528,0.0363,0.2797,0.3
S1_Standard_k10,39,SIT_v2,0.1806,0.0672,0.0256,0.3356,0.3
S1_Standard_k10,39,ARP_v2,0.1586,0.0577,0.0254,0.2917,0.3
S1_Standard_k10,40,REML,0.317353857991717,0.0797052365408629,0.16113446499238,0.473573250991054,0.3
S1_Standard_k10,40,HKSJ,0.317353857991717,0.0793643360368758,0.137819256755174,0.496888459228259,0.3
S1_Standard_k10,40,MWM_v2,0.3143,0.0801,0.1297,0.4989,0.3
S1_Standard_k10,40,SIT_v2,0.272,0.0837,0.079,0.4651,0.3
S1_Standard_k10,40,ARP_v2,0.3174,0.0795,0.1341,0.5007,0.3
S1_Standard_k10,41,REML,0.249830863750757,0.0996103858079332,0.0545980950810684,0.445063632420446,0.3
S1_Standard_k10,41,HKSJ,0.249830863750757,0.0988549162182159,0.0262055069499037,0.473456220551611,0.3
S1_Standard_k10,41,MWM_v2,0.2418,0.1001,0.011,0.4725,0.3
S1_Standard_k10,41,SIT_v2,0.2679,0.1,0.0372,0.4986,0.3
S1_Standard_k10,41,ARP_v2,0.2497,0.099,0.0214,0.478,0.3
S1_Standard_k10,42,REML,0.280376177564079,0.0764062975265788,0.130622586219933,0.430129768908226,0.3
S1_Standard_k10,42,HKSJ,0.280376177564079,0.0785528244266381,0.10267734312933,0.458075011998829,0.3
S1_Standard_k10,42,MWM_v2,0.2789,0.0767,0.102,0.4558,0.3
S1_Standard_k10,42,SIT_v2,0.2678,0.0802,0.0828,0.4528,0.3
S1_Standard_k10,42,ARP_v2,0.2803,0.0775,0.1015,0.4591,0.3
S1_Standard_k10,43,REML,0.210598884388935,0.0923590245147784,0.0295785226927178,0.391619246085153,0.3
S1_Standard_k10,43,HKSJ,0.210598884388935,0.09010101516031,0.00677622756865048,0.414421541209221,0.3
S1_Standard_k10,43,MWM_v2,0.2144,0.0928,4e-04,0.4285,0.3
S1_Standard_k10,43,SIT_v2,0.2751,0.096,0.0537,0.4965,0.3
S1_Standard_k10,43,ARP_v2,0.2106,0.0916,-6e-04,0.4218,0.3
S1_Standard_k10,44,REML,0.327425076204147,0.0915105063462496,0.148067779558474,0.50678237284982,0.3
S1_Standard_k10,44,HKSJ,0.327425076204147,0.0960774237182258,0.110082843956764,0.544767308451529,0.3
S1_Standard_k10,44,MWM_v2,0.3291,0.0918,0.1173,0.5408,0.3
S1_Standard_k10,44,SIT_v2,0.286,0.1009,0.0533,0.5187,0.3
S1_Standard_k10,44,ARP_v2,0.3274,0.0928,0.1134,0.5414,0.3
S1_Standard_k10,45,REML,0.231302687219895,0.106487241301259,0.0225915294564018,0.440013844983389,0.3
S1_Standard_k10,45,HKSJ,0.231302687219895,0.10674794555812,-0.0101779424383978,0.472783316878189,0.3
S1_Standard_k10,45,MWM_v2,0.2359,0.1069,-0.0107,0.4824,0.3
S1_Standard_k10,45,SIT_v2,0.2921,0.1115,0.035,0.5491,0.3
S1_Standard_k10,45,ARP_v2,0.2313,0.1064,-0.0139,0.4766,0.3
S1_Standard_k10,46,REML,0.563996293291149,0.0769168556972838,0.413242026320409,0.71475056026189,0.3
S1_Standard_k10,46,HKSJ,0.563996293291149,0.0755164402006549,0.393166237182216,0.734826349400083,0.3
S1_Standard_k10,46,MWM_v2,0.5659,0.0774,0.3873,0.7444,0.3
S1_Standard_k10,46,SIT_v2,0.6088,0.0804,0.4233,0.7943,0.3
S1_Standard_k10,46,ARP_v2,0.5641,0.0761,0.3885,0.7397,0.3
S1_Standard_k10,47,REML,0.293129171702209,0.0835301722750969,0.129413042420593,0.456845300983825,0.3
S1_Standard_k10,47,HKSJ,0.293129171702209,0.0857775202749466,0.0990869398051704,0.487171403599248,0.3
S1_Standard_k10,47,MWM_v2,0.294,0.0838,0.1007,0.4873,0.3
