"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD015751_pub2_5","CD015751_pub2",5,"GIV",3,0,0.799603395061,0,0,-1.56719385623551,1.56719385623551,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015779_2","CD015779",2,"GIV",3,-1.37645069914695,0.771852930538288,0.752853214101885,0.975384278941388,-2.88925464436369,0.136353246069794,-4.61571663590308,1.86281523760919,2.14123313665211,0.0745363498964621,0.209013767463999,FALSE,FALSE,FALSE,1.24470296057622,71.1222282188522,0.663031161486521,"Moderate","2-3"
"CD015804_pub2_1","CD015804_pub2",1,"GIV",8,-0.565714658969986,0.295165462341418,0.315770413969278,1.06980813901603,-1.14422833463928,0.0127990166993057,-1.31239303777723,0.180963719837262,1.29068405849422,0.055288538072925,0.116315775779988,FALSE,FALSE,FALSE,0.0675870256707739,9.6229747845647,0.727710313692041,"High","6-10"
"CD015804_pub2_4","CD015804_pub2",4,"GIV",3,1.82682965461229,6.49502715188865,6.03129540235778,0.928602030648012,-10.9031896416992,14.5568489509238,-24.1237399722678,27.7773992814924,2.03853340853923,0.778506463170591,0.790572722268065,FALSE,FALSE,FALSE,80.0878494374425,64.7275175168968,0.633676911105472,"Moderate","2-3"
"CD015820_pub2_1","CD015820_pub2",1,"GIV",7,0,1.33339049641419,0,0,-2.61339735029981,2.61339735029981,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD015820_pub2_4","CD015820_pub2",4,"GIV",3,0,0.780161772360957,0,0,-1.52908897594241,1.52908897594241,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD015820_pub2_6","CD015820_pub2",6,"GIV",5,0,0.311739660896201,0,0,-0.610998507909283,0.610998507909283,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","4-5"
"CD015824_pub2_1","CD015824_pub2",1,"GIV",12,0,0.0356862943574796,0,0,-0.069943851682355,0.069943851682355,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
"CD015824_pub2_3","CD015824_pub2",3,"GIV",6,0,0.188746358178593,0,0,-0.369936064243139,0.369936064243139,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD015824_pub2_4","CD015824_pub2",4,"GIV",13,0,2.96294932608636,0,0,-5.80727396714649,5.80727396714649,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
