"Model","Predictors","df","R2","Adj_R2","AIC","BIC","RMSE","Delta_AIC","Delta_BIC"
"M1","log(k)",5086,0.0262,0.026,-901.576575813354,-881.972655498294,0.2213,1035.68233544003,976.870574494852
"M2","+effect_type",5084,0.1303,0.1298,-1473.13678402057,-1440.46358349547,0.2092,464.122127232813,418.379646497673
"M3","+log(tau)",5083,0.1548,0.1541,-1616.15076365401,-1576.94292302389,0.2062,321.108147599371,281.900306969251
"M4","+|theta|",5082,0.1574,0.1566,-1629.9948541877,-1584.25237345256,0.2059,307.264057065683,274.590856540583
"M5","+near_zero",5081,0.191,0.1901,-1835.33259038381,-1783.05546954365,0.2017,101.92632086958,75.7877604495002
"M6","+interactions",5079,0.2046,0.2034,-1917.39920025369,-1852.05279920349,0.2,19.8597109996947,6.79043078965469
"M7","+quadratic+I2",5077,0.2083,0.2068,-1937.25891125339,-1858.84322999315,0.1996,0,0
"M8","SNR model",5081,0.1917,0.1907,-1839.37461241484,-1787.09749157468,0.2016,97.8842988385434,71.7457384184634
