"dataset","file","n_rows","n_studies","n_comparisons","n_outcomes","n_subgroups","has_outcome_col","has_comparison_col","has_subgroup_col","has_review_doi_col","has_review_url_col","outcome_type","study_year_min","study_year_max","ctrl_risk_mean","ctrl_risk_median","ctrl_mean_mean","missing_study_year","missing_outcome","missing_comparison","missing_review_doi"
"CD012905_pub2_data","CD012905_pub2_data.rda",101,20,NA,NA,11,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2001,2011,0.12040075558559,0.05,0.651188118811881,0,NA,NA,0
"CD012925_pub2_data","CD012925_pub2_data.rda",99,18,NA,NA,84,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2000,2022,0.062691677237819,0,-0.0437373737373737,0,NA,NA,0
"CD012942_pub2_data","CD012942_pub2_data.rda",825,37,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2017,0.197608390951564,0.100529100529101,-0.955151515151515,0,NA,NA,0
"CD012967_pub2_data","CD012967_pub2_data.rda",8,3,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1999,2011,0.00358833874458874,0,-0.97,0,NA,NA,0
"CD012993_pub2_data","CD012993_pub2_data.rda",55,6,NA,NA,34,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2011,2021,0.133487108825455,0,1.76705454545455,0,NA,NA,0
"CD012997_pub3_data","CD012997_pub3_data.rda",12,4,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2010,0.221692530519346,0.0277777777777778,0,0,NA,NA,0
"CD013023_pub2_data","CD013023_pub2_data.rda",53,5,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2014,2021,0.0842782936793205,0.0625,0,0,NA,NA,0
"CD013038_pub3_data","CD013038_pub3_data.rda",39,7,NA,NA,3,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2011,2023,0.011282166839699,0,26.6266666666667,0,NA,NA,0
"CD013042_pub2_data","CD013042_pub2_data.rda",312,23,NA,NA,36,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2023,0.0884050216596795,0,16.4340064102564,0,NA,NA,0
"CD013051_pub3_data","CD013051_pub3_data.rda",19,13,NA,NA,8,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1995,2016,0.499784391262201,0.5,0,0.0526315789473684,NA,NA,0
"CD013052_pub3_data","CD013052_pub3_data.rda",44,16,NA,NA,21,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1977,2020,0.525607318988894,0.572727272727273,0,0,NA,NA,0
"CD013053_pub3_data","CD013053_pub3_data.rda",11,6,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1990,2003,0.467508417508417,0.5,0,0,NA,NA,0
"CD013054_pub3_data","CD013054_pub3_data.rda",54,16,NA,NA,14,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1983,2015,0.642740296206238,0.80625,0,0.222222222222222,NA,NA,0
"CD013055_pub3_data","CD013055_pub3_data.rda",11,3,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2006,2012,0.241695542089095,0.25,0,0,NA,NA,0
