"dist","loglik","k","aic"
"normal",-23593.9448065324,2,47191.8896130648
"t",-21588.2537742633,2,43180.5075485265
"skew_normal",-23593.9447970929,3,47193.8895941858
"mixture_2norm",-20192.8684078957,5,40395.7368157913
