"dist","loglik","k","aic"
"lognormal",-170.631777130369,2,345.263554260738
"gamma",-80.445342252465,2,164.89068450493
"half_normal",-15.3523265597988,1,32.7046531195975
"half_t",-7.6677167587464,2,19.3354335174928
