"term","estimate","se","t","p","model"
"(Intercept)",-9.50661069833284,0.884895896268806,-10.7431967290365,3.22353042327944e-24,"base"
"outcome_typecontinuous",-1.09432950827699,3.24104568266343,-0.337647048337096,0.735780251483234,"base"
"outcome_typegiv",-6.95547981376944,4.03436034619312,-1.72406012773071,0.08535594414278,"base"
"log(k + 1)",1.04460055254434,0.198843100487447,5.25339099010021,2.27020403194983e-07,"base"
"log(median_se + 1e-06)",-4.18201220822858,0.409516748709202,-10.2120663474944,3.04818878602047e-22,"base"
